County,FIPS Code,FIPS State and County Code,County Seat,Established,Location
Mesa,77,8077,Grand Junction,1883-02-14,"Grand Junction, CO
(39.06878999985878, -108.5644499996676)"
Douglas,35,8035,Castle Rock,1861-11-01,"Castle Rock, CO
(39.375910000246506, -104.85995999965411)"
Logan,75,8075,Sterling,1887-02-25,"Sterling, CO
(40.625940000031164, -103.20614000036056)"
Elbert,39,8039,Kiowa,1874-02-02,"Kiowa, CO
(39.346580000266954, -104.46228999998334)"
Adams,1,8001,Brighton,11/15/1902,"Brighton, CO
(39.98668000018205, -104.81816999974552)"
Moffat,81,8081,Craig,2/27/1911,"Craig, CO
(40.5142299998148, -107.5478699997006)"
Chaffee,15,8015,Salida,1879-02-10,"Salida, CO
(38.53662000031295, -105.99233999959114)"
Rio Grande,105,8105,Del Norte,1874-02-10,"Del Norte, CO
(37.67868999964395, -106.35257000030509)"
Huerfano,55,8055,Walsenburg,1861-11-01,"Walsenburg, CO
(37.625010000011684, -104.780259999799)"
Mineral,79,8079,Creede,1893-03-27,"Creede, CO
(37.85123000006462, -106.92670000040454)"
Weld,123,8123,Greeley,1861-11-01,"Greeley, CO
(40.423269999610966, -104.69446000012874)"
Jackson,57,8057,Walden,5/5/1909,"Walden, CO
(40.730510000136576, -106.28207999979202)"
Costilla,23,8023,San Luis,1861-11-01,"San Luis, CO
(37.199390000148526, -105.42593999983097)"
Delta,29,8029,Delta,1883-02-11,"Delta, CO
(38.74478999985877, -108.07086999995039)"
Archuleta,7,8007,Pagosa Springs,1885-04-14,"Pagosa Springs, CO
(37.26749000016355, -107.01018999966863)"
Rio Blanco,103,8103,Meeker,1889-03-25,"Meeker, CO
(40.037379999987195, -107.90716000023366)"
Arapahoe,5,8005,Littleton,1861-11-01,"Littleton, CO
(39.61689999973538, -105.01452000009778)"
Alamosa,3,8003,Alamosa,3/8/1913,"Alamosa, CO
(37.46818000010711, -105.87359999984)"
La Plata,67,8067,Durango,1874-02-10,"Durango, CO
(37.27367000007064, -107.87929999969509)"
Boulder,13,8013,Boulder,1861-11-01,"Boulder, CO
(40.01574000030092, -105.27924000032561)"
Morgan,87,8087,Fort Morgan,1889-02-19,"Fort Morgan, CO
(40.2546700001206, -103.80148000010178)"
Ouray,91,8091,Ouray,1877-01-18,"Ouray, CO
(38.02443000034441, -107.67146000007881)"
Montrose,85,8085,Montrose,1883-02-11,"Montrose, CO
(38.478640000236, -107.8776199995632)"
Routt,107,8107,Steamboat Springs,1877-01-29,"Steamboat Springs, CO
(40.48785000007763, -106.83638999959868)"
Lincoln,73,8073,Hugo,1889-04-11,"Hugo, CO
(39.13448999981381, -103.47021999985299)"
Garfield,45,8045,Glenwood Springs,1883-02-10,"Glenwood Springs, CO
(39.54602999968489, -107.32369999975504)"
Larimer,69,8069,Fort Collins,1861-11-01,"Fort Collins, CO
(40.581469999740875, -105.07625999999885)"
Clear Creek,19,8019,Georgetown,1861-11-01,"Georgetown, CO
(39.705999999600465, -105.69583999971604)"
Lake,65,8065,Leadville,1861-11-01,"Leadville, CO
(39.25077000033542, -106.29264000023568)"
Broomfield,14,8014,Broomfield,11/15/2001,"Broomfield, CO
(39.92086000008908, -105.070579999767)"
Conejos,21,8021,Conejos,1861-11-01,"Conejos, CO
(37.08849999997517, -106.02061000015124)"
Custer,27,8027,Westcliffe,1877-03-09,"Westcliffe, CO
(38.13602999998466, -105.46708000034158)"
Washington,121,8121,Akron,1887-02-09,"Akron, CO
(40.159139999611455, -103.21205999996886)"
Phillips,95,8095,Holyoke,1889-03-27,"Holyoke, CO
(40.58507000028044, -102.30224999993737)"
Las Animas,71,8071,Trinidad,1866-02-09,"Trinidad, CO
(37.16772000017801, -104.50818000010679)"
Cheyenne,17,8017,Cheyenne Wells,1889-03-25,"Cheyenne Wells, CO
(38.819519999848296, -102.34807999999185)"
Park,93,8093,Fairplay,1861-11-01,"Fairplay, CO
(39.223500000025126, -105.99986000013877)"
Bent,11,8011,Las Animas,1870-02-11,"Las Animas, CO
(38.067279999672394, -103.21996000005379)"
Jefferson,59,8059,Golden,1861-11-01,"Golden, CO
(39.756649999797844, -105.22495000044199)"
Otero,89,8089,La Junta,1889-03-25,"La Junta, CO
(37.987450000117576, -103.54311999998788)"
Teller,119,8119,Cripple Creek,1899-03-23,"Cripple Creek, CO
(38.74751000028647, -105.17941999983299)"
Dolores,33,8033,Dove Creek,1881-03-04,"Dove Creek, CO
(37.76375999982429, -108.90601999962314)"
Crowley,25,8025,Ordway,5/29/1911,"Ordway, CO
(38.21451999979831, -103.75045999992892)"
