OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Education_Population_AgeOver24,Percent_Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_NoHSDiploma,Percent_Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher
1,8043979000,"Census Tract 9790, Fremont County, Colorado",8043979000,FREMONT,3471,3.4,2876,2.1,6.3,93.7,26.1
2,8045951600,"Census Tract 9516, Garfield County, Colorado",8045951600,GARFIELD,3656,6.4,2372,4.3,11.3,88.7,45.2
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",8069002803,LARIMER,97,0.4,45,0,0,100,51.1
4,8125963200,"Census Tract 9632, Yuma County, Colorado",8125963200,YUMA,5467,5.3,3878,9.7,15.9,84,22.2
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",8069002401,LARIMER,1310,3.3,1179,0.8,5,95.1,46.3
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",8069002402,LARIMER,2712,2.9,2196,0.7,2.3,97.6,45.9
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",8103951200,RIO BLANCO,2625,2.1,1703,0.3,5.1,94.9,24.5
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",8103951100,RIO BLANCO,3932,2,2557,3.4,9.6,90.4,18.5
9,8049000201,"Census Tract 2.01, Grand County, Colorado",8049000201,GRAND,4908,9.9,4052,1,4.9,95.1,36.7
10,8049000202,"Census Tract 2.02, Grand County, Colorado",8049000202,GRAND,6907,27.3,5017,0.8,3,97,48
11,8049000100,"Census Tract 1, Grand County, Colorado",8049000100,GRAND,2978,2.7,2070,0.6,7.8,92.2,18.3
12,8081000600,"Census Tract 6, Moffat County, Colorado",8081000600,MOFFAT,1321,0.3,855,5.4,10.1,89.9,15
13,8081000500,"Census Tract 5, Moffat County, Colorado",8081000500,MOFFAT,4319,1145.6,2859,1.5,8.1,91.9,17
14,8081000400,"Census Tract 4, Moffat County, Colorado",8081000400,MOFFAT,4548,1618.5,3160,5.7,14.7,85.3,15
15,8081000300,"Census Tract 3, Moffat County, Colorado",8081000300,MOFFAT,2868,18.5,1979,0.6,4.7,95.4,21.8
16,8057955600,"Census Tract 9556, Jackson County, Colorado",8057955600,JACKSON,1372,0.9,993,5.1,14.9,85.1,16.5
17,8121924100,"Census Tract 9241, Washington County, Colorado",8121924100,WASHINGTON,1939,1.1,1364,1.9,6.5,93.5,19.6
18,8107000800,"Census Tract 8, Routt County, Colorado",8107000800,ROUTT,2059,3.6,1549,3.2,5.5,94.4,44
19,8107000700,"Census Tract 7, Routt County, Colorado",8107000700,ROUTT,5070,86.6,3721,2.8,2.8,97.2,66.5
20,8107000500,"Census Tract 5, Routt County, Colorado",8107000500,ROUTT,4144,97.3,3042,0.8,3.2,96.8,62.7
21,8107000200,"Census Tract 2, Routt County, Colorado",8107000200,ROUTT,1996,160.7,1311,0,5.4,94.6,20
22,8107000400,"Census Tract 4, Routt County, Colorado",8107000400,ROUTT,3909,100.6,2658,2.5,3.7,96.3,42.7
23,8107000600,"Census Tract 6, Routt County, Colorado",8107000600,ROUTT,3028,94.7,2380,2.8,4.9,95.1,56.6
24,8107000300,"Census Tract 3, Routt County, Colorado",8107000300,ROUTT,2219,4.4,1722,1.9,6.1,93.9,39.1
25,8107000100,"Census Tract 1, Routt County, Colorado",8107000100,ROUTT,1934,1.8,1458,0.3,1.5,98.6,50
26,8051963900,"Census Tract 9639, Gunnison County, Colorado",8051963900,GUNNISON,869,0.5,706,2,7.5,92.5,36.4
27,8051963700,"Census Tract 9637, Gunnison County, Colorado",8051963700,GUNNISON,6461,1153.8,3339,5.1,8.7,91.4,49.4
28,8051963600,"Census Tract 9636, Gunnison County, Colorado",8051963600,GUNNISON,4040,3.2,2858,1.4,3.3,96.7,50.2
29,8051963800,"Census Tract 9638, Gunnison County, Colorado",8051963800,GUNNISON,4845,14.9,3451,0,0.3,99.7,64.4
30,8021974900,"Census Tract 9749, Conejos County, Colorado",8021974900,CONEJOS,4109,3.9,2814,6.9,13,87,21
31,8021974800,"Census Tract 9748, Conejos County, Colorado",8021974800,CONEJOS,4038,16.9,2464,9.3,17.3,82.7,17.1
32,8037000703,"Census Tract 7.03, Eagle County, Colorado",8037000703,EAGLE,2663,31,2220,0.2,0.2,99.8,56.3
33,8037000301,"Census Tract 3.01, Eagle County, Colorado",8037000301,EAGLE,6327,684,4356,5.7,9.7,90.3,41
34,8037000702,"Census Tract 7.02, Eagle County, Colorado",8037000702,EAGLE,1627,92.4,1149,1.1,2.1,97.9,66.1
35,8037000402,"Census Tract 4.02, Eagle County, Colorado",8037000402,EAGLE,4703,72.3,3070,12.3,24.8,75.2,45.2
36,8037000501,"Census Tract 5.01, Eagle County, Colorado",8037000501,EAGLE,630,32.7,469,0,0,100,59.9
37,8037000502,"Census Tract 5.02, Eagle County, Colorado",8037000502,EAGLE,4421,319.7,2983,5.9,10,90,56.3
38,8037000302,"Census Tract 3.02, Eagle County, Colorado",8037000302,EAGLE,2188,9.4,1761,7,17.8,82.2,54.7
39,8037000403,"Census Tract 4.03, Eagle County, Colorado",8037000403,EAGLE,8382,42,5706,1.8,3.8,96.2,44.3
40,8037000701,"Census Tract 7.01, Eagle County, Colorado",8037000701,EAGLE,1503,193.4,1135,0,0,100,70.3
41,8037000401,"Census Tract 4.01, Eagle County, Colorado",8037000401,EAGLE,4311,58.1,2899,2.7,10.6,89.4,47.9
42,8037000503,"Census Tract 5.03, Eagle County, Colorado",8037000503,EAGLE,6503,248.8,4347,4.7,10.3,89.7,37.5
43,8037000100,"Census Tract 1, Eagle County, Colorado",8037000100,EAGLE,1597,2.9,968,12.3,19.6,80.4,13.4
44,8037000600,"Census Tract 6, Eagle County, Colorado",8037000600,EAGLE,1535,6.2,1258,4.8,9.9,90.1,45.5
45,8037000200,"Census Tract 2, Eagle County, Colorado",8037000200,EAGLE,7336,50.9,5198,6.5,13.2,86.9,34.4
46,8045951901,"Census Tract 9519.01, Garfield County, Colorado",8045951901,GARFIELD,4901,34.4,3221,3.6,8.5,91.5,17.2
47,8045951701,"Census Tract 9517.01, Garfield County, Colorado",8045951701,GARFIELD,4014,804.4,2831,5.2,9.9,90.1,41.1
48,8045951902,"Census Tract 9519.02, Garfield County, Colorado",8045951902,GARFIELD,7111,25.6,4698,4.4,8.9,91.1,28.4
49,8045951702,"Census Tract 9517.02, Garfield County, Colorado",8045951702,GARFIELD,3507,798.9,2554,5.2,13.6,86.5,34.1
50,8045952001,"Census Tract 9520.01, Garfield County, Colorado",8045952001,GARFIELD,5051,150.5,3243,12.8,22.1,78,10.4
51,8045952002,"Census Tract 9520.02, Garfield County, Colorado",8045952002,GARFIELD,8266,20.1,5306,4.7,13.7,86.3,21.6
52,8045951803,"Census Tract 9518.03, Garfield County, Colorado",8045951803,GARFIELD,6245,173.5,3954,11,18.1,81.9,36.3
53,8045951804,"Census Tract 9518.04, Garfield County, Colorado",8045951804,GARFIELD,3958,108.7,2971,4.4,8.6,91.4,54.4
54,8045951802,"Census Tract 9518.02, Garfield County, Colorado",8045951802,GARFIELD,4249,29.8,2546,2.6,5.4,94.6,43.2
55,8045952100,"Census Tract 9521, Garfield County, Colorado",8045952100,GARFIELD,6987,5.4,4591,7.4,14.4,85.6,20.6
56,8067970704,"Census Tract 9707.04, La Plata County, Colorado",8067970704,LA PLATA,3837,12.7,3116,0.4,2.6,97.4,51.7
57,8067970703,"Census Tract 9707.03, La Plata County, Colorado",8067970703,LA PLATA,5549,97.6,3989,2.6,6.3,93.7,45.4
58,8067970701,"Census Tract 9707.01, La Plata County, Colorado",8067970701,LA PLATA,5265,15.2,3653,3,6.9,93,48.3
59,8067940300,"Census Tract 9403, La Plata County, Colorado",8067940300,LA PLATA,6073,29.8,4343,2.2,9,91,23
60,8097000500,"Census Tract 5, Pitkin County, Colorado",8097000500,PITKIN,2479,5.4,1727,0.7,1.1,98.9,67.6
61,8097000401,"Census Tract 4.01, Pitkin County, Colorado",8097000401,PITKIN,4542,461.1,3911,0.5,1.9,98.1,64.1
62,8097000402,"Census Tract 4.02, Pitkin County, Colorado",8097000402,PITKIN,3143,92.2,2258,3.3,9.1,90.9,61
63,8097000100,"Census Tract 1, Pitkin County, Colorado",8097000100,PITKIN,7583,16.2,5683,4.1,6,94,57.4
64,8117000402,"Census Tract 4.02, Summit County, Colorado",8117000402,SUMMIT,6340,93.8,5127,0.3,6.1,94,52.5
65,8117000401,"Census Tract 4.01, Summit County, Colorado",8117000401,SUMMIT,3864,66.2,2726,1.1,3.4,96.6,46.3
66,8117000100,"Census Tract 1, Summit County, Colorado",8117000100,SUMMIT,8155,31.2,6347,5.4,9.6,90.4,50.1
67,8117000200,"Census Tract 2, Summit County, Colorado",8117000200,SUMMIT,7162,61.4,4709,3.8,9,91,39.5
68,8117000300,"Census Tract 3, Summit County, Colorado",8117000300,SUMMIT,4201,40.4,3470,1.3,1.3,98.7,49.1
69,8067971100,"Census Tract 9711, La Plata County, Colorado",8067971100,LA PLATA,4350,462.8,3002,0,0.7,99.3,54.7
70,8067971000,"Census Tract 9710, La Plata County, Colorado",8067971000,LA PLATA,2984,1546.1,2093,1,1.8,98.2,55.3
71,8067970900,"Census Tract 9709, La Plata County, Colorado",8067970900,LA PLATA,4255,1338.1,3269,0.9,4.9,95.1,47
72,8067970800,"Census Tract 9708, La Plata County, Colorado",8067970800,LA PLATA,7197,1650.7,3982,0.4,2.1,97.9,50.8
73,8067940400,"Census Tract 9404, La Plata County, Colorado",8067940400,LA PLATA,5620,11.6,4171,2.6,7,93,34.9
74,8067970600,"Census Tract 9706, La Plata County, Colorado",8067970600,LA PLATA,9339,33.2,6878,1.9,4.1,95.9,37.9
75,8065961900,"Census Tract 9619, Lake County, Colorado",8065961900,LAKE,2308,6.4,1453,9,20.6,79.4,15.8
76,8065961700,"Census Tract 9617, Lake County, Colorado",8065961700,LAKE,5173,335.3,3967,4.3,10.5,89.5,36.8
77,8029965100,"Census Tract 9651, Delta County, Colorado",8029965100,DELTA,4429,241.6,3033,5.3,15.7,84.4,16.2
78,8029965200,"Census Tract 9652, Delta County, Colorado",8029965200,DELTA,3973,36.3,3077,2.2,4.5,95.5,25.7
79,8029964600,"Census Tract 9646, Delta County, Colorado",8029964600,DELTA,3567,13.9,2619,1.1,7.1,92.9,26
80,8029965000,"Census Tract 9650, Delta County, Colorado",8029965000,DELTA,4782,15,3444,2.5,11.1,89,15.1
81,8029964900,"Census Tract 9649, Delta County, Colorado",8029964900,DELTA,5563,75.2,3664,2.6,9,91,19.9
82,8029964800,"Census Tract 9648, Delta County, Colorado",8029964800,DELTA,4007,17.2,3070,6.9,20,80,15.9
83,8029964700,"Census Tract 9647, Delta County, Colorado",8029964700,DELTA,3896,29.5,3076,3.2,10.2,89.8,18.3
84,8003960300,"Census Tract 9603, Alamosa County, Colorado",8003960300,ALAMOSA,5397,381.7,3017,15.7,26.4,73.6,11.2
85,8003960200,"Census Tract 9602, Alamosa County, Colorado",8003960200,ALAMOSA,6526,735.7,3505,5.9,11.6,88.3,35
86,8113968102,"Census Tract 9681.02, San Miguel County, Colorado",8113968102,SAN MIGUEL,1963,119.8,1282,2.3,4.1,95.9,61.2
87,8113968101,"Census Tract 9681.01, San Miguel County, Colorado",8113968101,SAN MIGUEL,1921,93,1429,0.4,6.7,93.3,66.5
88,8113968103,"Census Tract 9681.03, San Miguel County, Colorado",8113968103,SAN MIGUEL,2015,6.3,1685,0,4.4,95.6,61
89,8113968200,"Census Tract 9682, San Miguel County, Colorado",8113968200,SAN MIGUEL,1905,2,1447,1,10.6,89.4,27.6
90,8079973600,"Census Tract 9736, Mineral County, Colorado",8079973600,MINERAL,834,1,726,1.1,3.6,96.4,39.3
91,8083941100,"Census Tract 9411, Montezuma County, Colorado",8083941100,MONTEZUMA,1541,2.2,806,5,20,80,11.9
92,8083969400,"Census Tract 9694, Montezuma County, Colorado",8083969400,MONTEZUMA,4162,1227.7,2540,3.7,10.1,89.9,17.1
93,8083969100,"Census Tract 9691, Montezuma County, Colorado",8083969100,MONTEZUMA,3807,11.8,2771,1.4,5,94.9,41.6
94,8083969200,"Census Tract 9692, Montezuma County, Colorado",8083969200,MONTEZUMA,2974,6.1,2149,1.2,6.5,93.5,25.9
95,8083969000,"Census Tract 9690, Montezuma County, Colorado",8083969000,MONTEZUMA,3094,8.4,2344,3.8,7.9,92.1,38.2
96,8083969600,"Census Tract 9696, Montezuma County, Colorado",8083969600,MONTEZUMA,5051,38.4,3702,4.3,12.8,87.2,20.4
97,8083969300,"Census Tract 9693, Montezuma County, Colorado",8083969300,MONTEZUMA,5141,319.5,3790,3.4,11.9,88.1,31.1
98,8003960000,"Census Tract 9600, Alamosa County, Colorado",8003960000,ALAMOSA,1637,3,1121,6,16.9,83.1,27.6
99,8003960100,"Census Tract 9601, Alamosa County, Colorado",8003960100,ALAMOSA,2785,17.2,1768,7.4,11,89,33.5
100,8091967600,"Census Tract 9676, Ouray County, Colorado",8091967600,OURAY,4653,8.6,3748,0.2,2,98,49.4
101,8033000100,"Census Tract 1, Dolores County, Colorado",8033000100,DOLORES,1736,1.6,1312,2.7,9.2,90.9,19.8
102,8109977600,"Census Tract 9776, Saguache County, Colorado",8109977600,SAGUACHE,3387,1.2,2668,2.9,9.1,90.9,35.6
103,8109977700,"Census Tract 9777, Saguache County, Colorado",8109977700,SAGUACHE,2951,7.6,1883,21.3,34.2,65.8,12.4
104,8105976700,"Census Tract 9767, Rio Grande County, Colorado",8105976700,RIO GRANDE,5141,299.2,3377,8.6,18.6,81.5,21.2
105,8105977000,"Census Tract 9770, Rio Grande County, Colorado",8105977000,RIO GRANDE,4515,5.1,3158,5.7,13.3,86.7,29.2
106,8105976800,"Census Tract 9768, Rio Grande County, Colorado",8105976800,RIO GRANDE,1774,419.4,1269,8.6,20.5,79.5,16.4
107,8077001706,"Census Tract 17.06, Mesa County, Colorado",8077001706,MESA,6275,3031.4,4010,2.2,13.5,86.4,7.5
108,8077001707,"Census Tract 17.07, Mesa County, Colorado",8077001707,MESA,5883,3129.3,3956,3.1,13.1,87,19.8
109,8077001001,"Census Tract 10.01, Mesa County, Colorado",8077001001,MESA,4820,2351.2,3585,3,8.2,91.8,39.6
110,8077000602,"Census Tract 6.02, Mesa County, Colorado",8077000602,MESA,4709,4709,2829,3.8,13.5,86.5,28.3
111,8077000500,"Census Tract 5, Mesa County, Colorado",8077000500,MESA,3266,6948.9,926,5,17,83,15.9
112,8077000400,"Census Tract 4, Mesa County, Colorado",8077000400,MESA,3647,2662,2424,2.6,10.9,89.1,26.5
113,8077001302,"Census Tract 13.02, Mesa County, Colorado",8077001302,MESA,4934,1713.2,3708,1.5,8.2,91.9,25.1
114,8077001102,"Census Tract 11.02, Mesa County, Colorado",8077001102,MESA,4581,2632.8,3371,3.6,9.8,90.2,21.6
115,8077000300,"Census Tract 3, Mesa County, Colorado",8077000300,MESA,1503,2683.9,1077,8.4,11.7,88.2,34.4
116,8077000200,"Census Tract 2, Mesa County, Colorado",8077000200,MESA,2106,5014.3,1211,2.3,8.1,91.9,30.2
117,8077001404,"Census Tract 14.04, Mesa County, Colorado",8077001404,MESA,4948,765.9,3723,0.3,1.9,98.1,49.3
118,8077001501,"Census Tract 15.01, Mesa County, Colorado",8077001501,MESA,13132,1811.3,9024,4.7,12.8,87.2,23.2
119,8077001403,"Census Tract 14.03, Mesa County, Colorado",8077001403,MESA,3573,1041.7,2603,1,5.2,94.8,42.9
120,8077001301,"Census Tract 13.01, Mesa County, Colorado",8077001301,MESA,8891,2370.9,5387,1.4,8.8,91.2,19.7
121,8077001002,"Census Tract 10.02, Mesa County, Colorado",8077001002,MESA,6736,1935.6,5035,2.6,7.7,92.4,38.1
122,8077000900,"Census Tract 9, Mesa County, Colorado",8077000900,MESA,2915,450.5,1822,2.4,8,92,24.1
123,8077001101,"Census Tract 11.01, Mesa County, Colorado",8077001101,MESA,7936,3743.4,5316,1.7,9.1,90.9,22.7
124,8077000800,"Census Tract 8, Mesa County, Colorado",8077000800,MESA,8933,1464.4,5760,4.9,13.6,86.4,17.4
125,8077000700,"Census Tract 7, Mesa County, Colorado",8077000700,MESA,3957,2931.1,2596,8.1,15.1,84.9,31.4
126,8077001900,"Census Tract 19, Mesa County, Colorado",8077001900,MESA,5173,3.1,4031,1.5,7.1,92.9,31
127,8077000601,"Census Tract 6.01, Mesa County, Colorado",8077000601,MESA,4291,4334.3,2739,5.2,10,90,28.8
128,8077001402,"Census Tract 14.02, Mesa County, Colorado",8077001402,MESA,5861,632.3,4453,2.4,5.7,94.2,41.8
129,8077001600,"Census Tract 16, Mesa County, Colorado",8077001600,MESA,3548,80.7,2706,0,1.7,98.3,49.6
130,8077001502,"Census Tract 15.02, Mesa County, Colorado",8077001502,MESA,7594,19.7,5353,2,8.7,91.3,28.8
131,8077001703,"Census Tract 17.03, Mesa County, Colorado",8077001703,MESA,4366,2250.5,2964,3.2,6.9,93.1,16
132,8077001800,"Census Tract 18, Mesa County, Colorado",8077001800,MESA,3054,2.7,2055,1.3,9.8,90.2,25.5
133,8077001702,"Census Tract 17.02, Mesa County, Colorado",8077001702,MESA,4589,229.5,3514,2.4,11.8,88.2,25.7
134,8077001705,"Census Tract 17.05, Mesa County, Colorado",8077001705,MESA,5310,2026.7,3359,6.9,19.4,80.6,8.8
135,8077001200,"Census Tract 12, Mesa County, Colorado",8077001200,MESA,2267,180.4,1828,0.7,4.8,95.2,30.8
136,8019014900,"Census Tract 149, Clear Creek County, Colorado",8019014900,CLEAR CREEK,2503,12.4,1976,0.8,4.6,95.4,37
137,8053973100,"Census Tract 9731, Hinsdale County, Colorado",8053973100,HINSDALE,820,0.7,664,0.8,7.3,92.8,40.8
138,8015000401,"Census Tract 4.01, Chaffee County, Colorado",8015000401,CHAFFEE,4895,13.3,3850,1.2,3.7,96.3,34.8
139,8015000402,"Census Tract 4.02, Chaffee County, Colorado",8015000402,CHAFFEE,3777,21.3,2973,2.2,7.6,92.4,18.6
140,8015000100,"Census Tract 1, Chaffee County, Colorado",8015000100,CHAFFEE,2824,1857.9,2080,10.2,19.9,80.1,31.7
141,8015000200,"Census Tract 2, Chaffee County, Colorado",8015000200,CHAFFEE,4184,98.3,3423,2,8.3,91.7,34.7
142,8015000300,"Census Tract 3, Chaffee County, Colorado",8015000300,CHAFFEE,3138,7.4,2581,1.5,7.2,92.8,41.9
143,8111972600,"Census Tract 9726, San Juan County, Colorado",8111972600,SAN JUAN,569,1.5,433,2.8,3.5,96.5,29.8
144,8085966502,"Census Tract 9665.02, Montrose County, Colorado",8085966502,MONTROSE,3766,1238.8,2702,3.4,5,95,32.5
145,8085966601,"Census Tract 9666.01, Montrose County, Colorado",8085966601,MONTROSE,4692,719.6,3073,4,12.7,87.3,22
146,8085966602,"Census Tract 9666.02, Montrose County, Colorado",8085966602,MONTROSE,4664,20.8,3529,0.8,3.4,96.6,30.9
147,8085966201,"Census Tract 9662.01, Montrose County, Colorado",8085966201,MONTROSE,2423,6.5,1844,1,5.1,94.9,23.1
148,8085966503,"Census Tract 9665.03, Montrose County, Colorado",8085966503,MONTROSE,3506,123.7,2442,2,13.5,86.6,21.7
149,8085966501,"Census Tract 9665.01, Montrose County, Colorado",8085966501,MONTROSE,2895,12.3,2317,2.6,4.5,95.6,35.9
150,8085966202,"Census Tract 9662.02, Montrose County, Colorado",8085966202,MONTROSE,4586,18.2,3062,11.8,21.4,78.7,13.1
151,8085966100,"Census Tract 9661, Montrose County, Colorado",8085966100,MONTROSE,2203,2,1769,1.5,8.4,91.6,17.5
152,8085966400,"Census Tract 9664, Montrose County, Colorado",8085966400,MONTROSE,6087,2035.8,4135,3.6,10.5,89.5,22.7
153,8085966300,"Census Tract 9663, Montrose County, Colorado",8085966300,MONTROSE,6086,1383.2,4085,6.6,16.9,83,17.4
154,8007940400,"Census Tract 9404, Archuleta County, Colorado",8007940400,ARCHULETA,1260,3.2,1038,1.3,4.3,95.7,22.4
155,8007974200,"Census Tract 9742, Archuleta County, Colorado",8007974200,ARCHULETA,5561,193.3,4078,3.3,10.4,89.6,41.5
156,8007974400,"Census Tract 9744, Archuleta County, Colorado",8007974400,ARCHULETA,2430,4.3,1862,3.5,7.2,92.8,39.8
157,8007974300,"Census Tract 9743, Archuleta County, Colorado",8007974300,ARCHULETA,3341,9.2,2511,5.3,12,88.1,33.4
158,8093000500,"Census Tract 5, Park County, Colorado",8093000500,PARK,2526,3.2,2248,0,1.2,98.8,25.8
159,8093000400,"Census Tract 4, Park County, Colorado",8093000400,PARK,1722,1.9,1424,2.2,6.3,93.6,25.2
160,8093000100,"Census Tract 1, Park County, Colorado",8093000100,PARK,6243,32.7,4897,1.8,3.2,96.7,25.9
161,8093000300,"Census Tract 3, Park County, Colorado",8093000300,PARK,2823,25.9,1946,1.3,5.3,94.8,28.5
162,8093000200,"Census Tract 2, Park County, Colorado",8093000200,PARK,3586,21.3,2744,0.4,3.8,96.2,37.1
163,8001009606,"Census Tract 96.06, Adams County, Colorado",8001009606,ADAMS,2817,3912.5,1735,17.3,36.1,63.9,9.6
164,8001009320,"Census Tract 93.20, Adams County, Colorado",8001009320,ADAMS,2760,3729.7,1675,8.9,32.5,67.5,10.3
165,8001009409,"Census Tract 94.09, Adams County, Colorado",8001009409,ADAMS,5494,3712.2,4029,0.6,4.2,95.8,51.5
166,8001009322,"Census Tract 93.22, Adams County, Colorado",8001009322,ADAMS,4590,9180,2778,7.8,23.9,76.1,15.7
167,8001009607,"Census Tract 96.07, Adams County, Colorado",8001009607,ADAMS,4981,5660.2,3209,5.3,13.2,86.8,20.2
168,8001009304,"Census Tract 93.04, Adams County, Colorado",8001009304,ADAMS,6016,4851.6,3868,7.2,19.5,80.5,16.3
169,8001060200,"Census Tract 602, Adams County, Colorado",8001060200,ADAMS,3855,2039.7,2716,0.4,3.1,97,38.5
170,8001009325,"Census Tract 93.25, Adams County, Colorado",8001009325,ADAMS,5281,3592.5,3886,3.1,7.9,92.1,51
171,8069001601,"Census Tract 16.01, Larimer County, Colorado",8069001601,LARIMER,1603,709.3,1210,2.5,7.8,92.2,28.9
172,8069001301,"Census Tract 13.01, Larimer County, Colorado",8069001301,LARIMER,3583,181,2732,1.9,9.3,90.6,45.2
173,8069001114,"Census Tract 11.14, Larimer County, Colorado",8069001114,LARIMER,2353,708.7,1745,0,0.1,99.9,68.7
174,8069001113,"Census Tract 11.13, Larimer County, Colorado",8069001113,LARIMER,3591,3555.4,2334,1.5,4.1,95.9,55
175,8069001107,"Census Tract 11.07, Larimer County, Colorado",8069001107,LARIMER,5380,5326.7,3178,0.5,4.8,95.2,47.2
176,8069001104,"Census Tract 11.04, Larimer County, Colorado",8069001104,LARIMER,6417,6291.2,3457,0,1.6,98.4,43.8
177,8069001112,"Census Tract 11.12, Larimer County, Colorado",8069001112,LARIMER,4915,1950.4,2945,5,7.5,92.5,48.7
178,8069001010,"Census Tract 10.10, Larimer County, Colorado",8069001010,LARIMER,2546,2293.7,1963,0.5,2.7,97.4,65.1
179,8069001007,"Census Tract 10.07, Larimer County, Colorado",8069001007,LARIMER,3561,3297.2,2253,5.5,6.6,93.3,50.9
180,8069000300,"Census Tract 3, Larimer County, Colorado",8069000300,LARIMER,2928,1068.6,2220,0.4,2.7,97.3,59.5
181,8069002700,"Census Tract 27, Larimer County, Colorado",8069002700,LARIMER,5981,1154.6,4445,1,3.3,96.7,27.6
182,8069002600,"Census Tract 26, Larimer County, Colorado",8069002600,LARIMER,7339,138.4,5122,0.5,2.8,97.2,38.7
183,8001015000,"Census Tract 150, Adams County, Colorado",8001015000,ADAMS,2884,511.3,1918,10.2,26.6,73.4,5.6
184,8001008538,"Census Tract 85.38, Adams County, Colorado",8001008538,ADAMS,6898,1553.6,4121,0.2,2.7,97.3,46.3
185,8001009326,"Census Tract 93.26, Adams County, Colorado",8001009326,ADAMS,2620,5458.3,1979,1.8,3.2,96.8,45.1
186,8001009206,"Census Tract 92.06, Adams County, Colorado",8001009206,ADAMS,2163,4326,1462,6.3,10.5,89.5,28.7
187,8001008546,"Census Tract 85.46, Adams County, Colorado",8001008546,ADAMS,3436,6737.3,2342,4.2,5.8,94.2,34.2
188,8001008526,"Census Tract 85.26, Adams County, Colorado",8001008526,ADAMS,6660,2378.6,4441,4.5,8.1,91.9,44
189,8001008901,"Census Tract 89.01, Adams County, Colorado",8001008901,ADAMS,2494,796.8,1409,8.8,29.2,70.8,7
190,8001009608,"Census Tract 96.08, Adams County, Colorado",8001009608,ADAMS,3144,6046.2,2507,5.3,8.5,91.5,30.8
191,8001009604,"Census Tract 96.04, Adams County, Colorado",8001009604,ADAMS,4496,5227.9,3132,7.2,19.7,80.2,15.1
192,8001009202,"Census Tract 92.02, Adams County, Colorado",8001009202,ADAMS,4555,6698.5,2717,7.4,22.9,77.1,11.2
193,8001008801,"Census Tract 88.01, Adams County, Colorado",8001008801,ADAMS,5873,3915.3,3095,13.2,36.2,63.8,6.4
194,8001009401,"Census Tract 94.01, Adams County, Colorado",8001009401,ADAMS,5362,4031.6,3538,6.6,16.9,83.2,21.6
195,8001009406,"Census Tract 94.06, Adams County, Colorado",8001009406,ADAMS,4569,6819.4,3173,4.9,12.9,87.2,26.3
196,8001008542,"Census Tract 85.42, Adams County, Colorado",8001008542,ADAMS,8614,2309.4,4995,2.4,5.1,94.9,33.5
197,8001008536,"Census Tract 85.36, Adams County, Colorado",8001008536,ADAMS,3054,1090.7,1965,0.8,5.7,94.3,30.8
198,8001008539,"Census Tract 85.39, Adams County, Colorado",8001008539,ADAMS,10259,2146.2,5941,2.9,6,94,28.9
199,8001009327,"Census Tract 93.27, Adams County, Colorado",8001009327,ADAMS,4031,4113.3,2832,3.5,10.6,89.4,29.5
200,8001009207,"Census Tract 92.07, Adams County, Colorado",8001009207,ADAMS,4891,8018,3208,9.1,16,84,12.5
201,8001008548,"Census Tract 85.48, Adams County, Colorado",8001008548,ADAMS,1544,3216.7,1087,1.1,3.6,96.4,35
202,8001060100,"Census Tract 601, Adams County, Colorado",8001060100,ADAMS,7407,2951,4833,2.8,8.3,91.7,35.8
203,8001009410,"Census Tract 94.10, Adams County, Colorado",8001009410,ADAMS,3106,2958.1,2383,0.8,2.4,97.7,58.9
204,8001008802,"Census Tract 88.02, Adams County, Colorado",8001008802,ADAMS,5081,969.7,3012,23.5,44,56,2.5
205,8001008529,"Census Tract 85.29, Adams County, Colorado",8001008529,ADAMS,7637,3249.8,5495,8.2,18.5,81.5,27.6
206,8001008534,"Census Tract 85.34, Adams County, Colorado",8001008534,ADAMS,4726,5251.1,2854,1.6,10.2,89.8,19.7
