OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Diabetes_Census_Tract_Estimate,Diabetes_Estimate_Confidence_Interval,Diabetes_Map_Symbol_withinHSR,Diabetes_County_Regional_Estimate,Diabetes_Map_Symbol_State,Diabetes_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,10,95% C.I.: 9.2 - 11,Fourth Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.9 - 11.5),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,5,95% C.I.: 4.5 - 5.7,Fourth Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,1.6,95% C.I.: 1.5 - 1.7,Lowest Quintile,County/Regional Estimate 5.1% (95% C.I.: 4.2 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,8,95% C.I.: 6.5 - 10.3,Lowest Quintile,County/Regional Estimate 8.4% (95% C.I.: 4.3 - 12.4),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,8,95% C.I.: 7.6 - 8.5,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 4.2 - 5.9),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,6.9,95% C.I.: 6.6 - 7.2,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 4.2 - 5.9),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,6.9,95% C.I.: 5.6 - 9.2,Fourth Quintile,County/Regional Estimate 8.2% (95% C.I.: 1.9 - 14.4),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,6.3,95% C.I.: 5 - 8.3,Fourth Quintile,County/Regional Estimate 8.2% (95% C.I.: 1.9 - 14.4),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,3.1,95% C.I.: 2.5 - 4.2,Middle Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.1 - 6.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,3.3,95% C.I.: 2.7 - 4.9,Fourth Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.1 - 6.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
