OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Median_Household_Income,Poverty_Mean_Household_Income,Poverty_Per_Capita_Income
1,08043979000,"Census Tract 9790, Fremont County, Colorado",08043979000,FREMONT,3471,3.4,9.7,49483,61677,29749
2,08045951600,"Census Tract 9516, Garfield County, Colorado",08045951600,GARFIELD,3656,6.4,14.5,59154,82512,32362
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",08069002803,LARIMER,97,0.4,38.1,43882,41385,27278
4,08125963200,"Census Tract 9632, Yuma County, Colorado",08125963200,YUMA,5467,5.3,13.4,44315,53229,24196
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",08069002401,LARIMER,1310,3.3,10.2,61111,83656,39123
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",08069002402,LARIMER,2712,2.9,11.2,52176,82822,40529
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",08103951200,RIO BLANCO,2625,2.1,8.4,73500,81868,30250
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",08103951100,RIO BLANCO,3932,2,13.8,52113,66206,26805
9,08049000201,"Census Tract 2.01, Grand County, Colorado",08049000201,GRAND,4908,9.9,4.4,73337,82425,38702
10,08049000202,"Census Tract 2.02, Grand County, Colorado",08049000202,GRAND,6907,27.3,14.3,66926,77079,31839
11,08049000100,"Census Tract 1, Grand County, Colorado",08049000100,GRAND,2978,2.7,24.8,53452,64425,25892
12,08081000600,"Census Tract 6, Moffat County, Colorado",08081000600,MOFFAT,1321,0.3,11.1,49286,59198,23173
13,08081000500,"Census Tract 5, Moffat County, Colorado",08081000500,MOFFAT,4319,1145.6,8.5,48341,60313,24481
14,08081000400,"Census Tract 4, Moffat County, Colorado",08081000400,MOFFAT,4548,1618.5,14,51641,64357,26994
15,08081000300,"Census Tract 3, Moffat County, Colorado",08081000300,MOFFAT,2868,18.5,6.2,71250,88907,34075
16,08057955600,"Census Tract 9556, Jackson County, Colorado",08057955600,JACKSON,1372,0.9,12.8,45994,55802,24299
17,08121924100,"Census Tract 9241, Washington County, Colorado",08121924100,WASHINGTON,1939,1.1,8.8,48882,71014,29978
18,08107000800,"Census Tract 8, Routt County, Colorado",08107000800,ROUTT,2059,3.6,14.4,55809,71318,30407
