,Census Tract,County,"Hospitalization_Census_Tract_Rate_per_100,000","Hospitlization_State_Rate_per_100,000",Adult_Pop_Over_18,Census_Tract_Estimate,Pop_Total,Pop_Density/Sq_Mile,Percent_Poverty,Median_Household_Income,Poverty_Mean_Household_Income,Per_Capita_Income,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,Low_Income_Tract,Percent_Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_NoHSDiploma,Percent_Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher
0,8043979000,FREMONT,716.97,1267.78,2994,10.0,3471,3.4,9.7,49483.0,61677.0,29749,1,1,0,0,0,1,1,2.1,6.3,93.7,26.1
1,8045951600,GARFIELD,602.99,1267.78,2800,5.0,3656,6.4,14.5,59154.0,82512.0,32362,0,0,0,0,0,1,0,4.3,11.3,88.7,45.2
2,8069002803,LARIMER,0.0,1267.78,97,1.6,97,0.4,38.1,43882.0,41385.0,27278,0,0,0,0,0,1,0,0.0,0.0,100.0,51.1
3,8125963200,YUMA,1390.98,1267.78,4381,8.0,5467,5.3,13.4,44315.0,53229.0,24196,1,1,0,0,0,1,1,9.7,15.9,84.0,22.2
4,8069002401,LARIMER,529.77,1267.78,1190,8.0,1310,3.3,10.2,61111.0,83656.0,39123,1,1,1,1,0,1,1,0.8,5.0,95.1,46.3
5,8069002402,LARIMER,493.41,1267.78,2298,6.9,2712,2.9,11.2,52176.0,82822.0,40529,0,0,0,0,0,1,0,0.7,2.3,97.6,45.9
6,8103951200,RIO BLANCO,1074.68,1267.78,2080,6.9,2625,2.1,8.4,73500.0,81868.0,30250,0,0,0,0,0,1,0,0.3,5.1,94.9,24.5
7,8103951100,RIO BLANCO,593.49,1267.78,2887,6.3,3932,2.0,13.8,52113.0,66206.0,26805,0,0,0,0,0,1,0,3.4,9.6,90.4,18.5
8,8049000201,GRAND,367.15,1267.78,4247,3.1,4908,9.9,4.4,73337.0,82425.0,38702,0,0,0,0,0,1,0,1.0,4.9,95.1,36.7
9,8049000202,GRAND,141.15,1267.78,5788,3.3,6907,27.3,14.3,66926.0,77079.0,31839,0,0,0,0,0,1,0,0.8,3.0,97.0,48.0
10,8049000100,GRAND,603.76,1267.78,2203,2.7,2978,2.7,24.8,53452.0,64425.0,25892,0,0,0,0,0,1,0,0.6,7.8,92.2,18.3
11,8081000600,MOFFAT,880.21,1267.78,958,6.9,1321,0.3,11.1,49286.0,59198.0,23173,1,1,0,0,0,1,1,5.4,10.1,89.9,15.0
12,8081000500,MOFFAT,1152.36,1267.78,3137,6.3,4319,1145.6,8.5,48341.0,60313.0,24481,0,0,0,0,1,0,0,1.5,8.1,91.9,17.0
13,8081000400,MOFFAT,1925.55,1267.78,3471,6.0,4548,1618.5,14.0,51641.0,64357.0,26994,0,0,0,0,1,0,0,5.7,14.7,85.3,15.0
14,8081000300,MOFFAT,977.97,1267.78,2123,8.2,2868,18.5,6.2,71250.0,88907.0,34075,0,0,0,0,1,0,0,0.6,4.7,95.4,21.8
15,8057955600,JACKSON,498.55,1267.78,1082,16.3,1372,0.9,12.8,45994.0,55802.0,24299,0,0,0,0,0,1,1,5.1,14.9,85.1,16.5
16,8121924100,WASHINGTON,945.04,1267.78,1455,10.2,1939,1.1,8.8,48882.0,71014.0,29978,1,1,1,1,0,1,1,1.9,6.5,93.5,19.6
17,8107000800,ROUTT,332.79,1267.78,1658,2.6,2059,3.6,14.4,55809.0,71318.0,30407,0,0,0,0,0,1,0,3.2,5.5,94.4,44.0
18,8107000700,ROUTT,231.79,1267.78,4215,2.0,5070,86.6,13.1,60918.0,84203.0,40306,0,0,0,0,1,0,0,2.8,2.8,97.2,66.5
19,8107000500,ROUTT,383.37,1267.78,3589,2.3,4144,97.3,8.7,76075.0,97552.0,40916,0,0,0,0,0,1,0,0.8,3.2,96.8,62.7
20,8107000200,ROUTT,430.37,1267.78,1487,4.8,1996,160.7,10.7,55208.0,69556.0,27622,0,0,0,0,0,1,0,0.0,5.4,94.6,20.0
21,8107000400,ROUTT,173.81,1267.78,2958,3.1,3909,100.6,10.9,85000.0,103690.0,36863,0,0,0,0,0,1,0,2.5,3.7,96.3,42.7
22,8107000600,ROUTT,429.03,1267.78,2509,2.9,3028,94.7,5.8,94500.0,112631.0,45512,0,0,0,0,1,0,0,2.8,4.9,95.1,56.6
23,8107000300,ROUTT,100.29,1267.78,1805,2.8,2219,4.4,14.3,52372.0,73758.0,35375,0,0,0,0,0,1,0,1.9,6.1,93.9,39.1
24,8107000100,ROUTT,128.96,1267.78,1532,2.8,1934,1.8,7.2,71250.0,97765.0,39446,0,0,0,0,0,1,0,0.3,1.5,98.6,50.0
25,8051963900,GUNNISON,788.23,1267.78,776,1.7,869,0.5,17.2,55476.0,78471.0,33650,0,0,0,0,0,1,0,2.0,7.5,92.5,36.4
26,8051963700,GUNNISON,773.27,1267.78,5729,0.9,6461,1153.8,25.0,41372.0,46717.0,19544,0,1,0,0,1,0,1,5.1,8.7,91.4,49.4
27,8051963600,GUNNISON,408.43,1267.78,3065,1.8,4040,3.2,7.0,64393.0,72153.0,31050,0,0,0,0,0,1,0,1.4,3.3,96.7,50.2
28,8051963800,GUNNISON,75.86,1267.78,3774,1.5,4845,14.9,6.6,72536.0,86373.0,34613,0,0,0,0,0,1,0,0.0,0.3,99.7,64.4
29,8021974900,CONEJOS,1570.17,1267.78,3029,11.4,4109,3.9,15.5,43777.0,55500.0,21722,0,0,0,0,0,1,1,6.9,13.0,87.0,21.0
30,8021974800,CONEJOS,547.8,1267.78,2876,13.0,4038,16.9,26.8,29461.0,42489.0,16324,0,0,0,1,0,1,1,9.3,17.3,82.7,17.1
31,8037000703,EAGLE,116.48,1267.78,2394,2.8,2663,31.0,6.9,69797.0,120529.0,59181,0,0,0,0,1,0,0,0.2,0.2,99.8,56.3
32,8037000301,EAGLE,755.08,1267.78,4847,2.2,6327,684.0,2.8,83288.0,104815.0,38272,0,0,0,0,0,1,0,5.7,9.7,90.3,41.0
33,8037000702,EAGLE,445.24,1267.78,1428,1.7,1627,92.4,8.3,72672.0,100729.0,46966,0,0,0,0,0,1,0,1.1,2.1,97.9,66.1
34,8037000402,EAGLE,228.86,1267.78,3591,1.5,4703,72.3,7.2,102460.0,150215.0,48862,0,0,0,0,1,0,0,12.3,24.8,75.2,45.2
35,8037000501,EAGLE,0.0,1267.78,590,2.0,630,32.7,7.1,81510.0,147198.0,62978,0,0,0,0,0,1,1,0.0,0.0,100.0,59.9
36,8037000502,EAGLE,16.54,1267.78,3371,1.2,4421,319.7,9.7,92675.0,99135.0,33832,0,0,0,0,0,1,0,5.9,10.0,90.0,56.3
37,8037000302,EAGLE,82.8,1267.78,1834,2.2,2188,9.4,15.9,85179.0,112193.0,50942,0,0,0,0,0,1,0,7.0,17.8,82.2,54.7
38,8037000403,EAGLE,195.56,1267.78,5966,1.9,8382,42.0,4.2,113915.0,116233.0,39467,0,0,0,0,0,1,0,1.8,3.8,96.2,44.3
39,8037000701,EAGLE,0.0,1267.78,1326,1.3,1503,193.4,4.9,83125.0,124433.0,49227,0,0,0,0,0,1,0,0.0,0.0,100.0,70.3
40,8037000401,EAGLE,46.71,1267.78,3403,1.5,4311,58.1,14.1,69093.0,95759.0,36565,0,0,0,0,1,0,0,2.7,10.6,89.4,47.9
41,8037000503,EAGLE,736.35,1267.78,4804,1.3,6503,248.8,11.0,61791.0,100031.0,36200,1,1,1,0,1,0,1,4.7,10.3,89.7,37.5
42,8037000100,EAGLE,472.18,1267.78,1204,1.8,1597,2.9,11.3,60938.0,69859.0,23957,0,0,0,0,0,1,1,12.3,19.6,80.4,13.4
43,8037000600,EAGLE,311.69,1267.78,1354,2.0,1535,6.2,5.8,76750.0,83154.0,36596,0,0,0,0,0,1,0,4.8,9.9,90.1,45.5
44,8037000200,EAGLE,464.64,1267.78,5529,2.2,7336,50.9,6.6,93242.0,112831.0,37390,0,0,0,0,0,1,0,6.5,13.2,86.9,34.4
45,8045951901,GARFIELD,738.09,1267.78,3467,5.1,4901,34.4,7.7,60500.0,73374.0,27957,0,0,0,0,0,1,0,3.6,8.5,91.5,17.2
46,8045951701,GARFIELD,640.23,1267.78,3103,6.5,4014,804.4,5.7,74618.0,97883.0,38796,0,0,0,0,1,0,0,5.2,9.9,90.1,41.1
47,8045951902,GARFIELD,701.6,1267.78,5234,5.3,7111,25.6,6.5,75769.0,87931.0,32120,0,0,0,0,1,0,0,4.4,8.9,91.1,28.4
48,8045951702,GARFIELD,991.84,1267.78,2948,5.5,3507,798.9,14.0,40424.0,60246.0,27492,0,0,0,0,1,0,0,5.2,13.6,86.5,34.1
49,8045952001,GARFIELD,860.29,1267.78,3716,6.3,5051,150.5,16.6,54943.0,60525.0,23653,0,0,0,0,0,1,0,12.8,22.1,78.0,10.4
50,8045952002,GARFIELD,1355.69,1267.78,5960,4.8,8266,20.1,10.2,63832.0,74298.0,25963,0,0,0,0,1,0,0,4.7,13.7,86.3,21.6
51,8045951803,GARFIELD,695.17,1267.78,4590,5.0,6245,173.5,9.6,77857.0,86679.0,29628,0,0,0,0,0,1,0,11.0,18.1,81.9,36.3
52,8045951804,GARFIELD,500.59,1267.78,3152,7.5,3958,108.7,12.5,75536.0,102562.0,41595,0,0,0,0,1,0,0,4.4,8.6,91.4,54.4
53,8045951802,GARFIELD,965.64,1267.78,2946,5.8,4249,29.8,1.8,95000.0,133336.0,42647,0,0,0,0,0,1,0,2.6,5.4,94.6,43.2
54,8045952100,GARFIELD,837.53,1267.78,5069,6.7,6987,5.4,8.6,66136.0,82441.0,31979,0,0,0,0,0,1,0,7.4,14.4,85.6,20.6
55,8067970704,LA PLATA,518.72,1267.78,3333,5.3,3837,12.7,6.2,66468.0,98772.0,47201,0,0,0,0,0,1,0,0.4,2.6,97.4,51.7
56,8067970703,LA PLATA,434.65,1267.78,4471,4.7,5549,97.6,11.8,69065.0,84274.0,37282,0,0,0,0,0,1,0,2.6,6.3,93.7,45.4
57,8067970701,LA PLATA,290.54,1267.78,3965,6.7,5265,15.2,7.3,72669.0,91627.0,35431,0,0,0,0,0,1,0,3.0,6.9,93.0,48.3
58,8067940300,LA PLATA,932.55,1267.78,4760,9.3,6073,29.8,8.9,57214.0,69964.0,27879,0,0,0,0,0,1,0,2.2,9.0,91.0,23.0
59,8097000500,PITKIN,57.9,1267.78,1867,2.7,2479,5.4,7.1,79700.0,137395.0,54242,0,0,0,0,0,1,0,0.7,1.1,98.9,67.6
60,8097000401,PITKIN,193.68,1267.78,4147,1.0,4542,461.1,8.2,63550.0,137043.0,97635,0,0,0,0,1,0,0,0.5,1.9,98.1,64.1
61,8097000402,PITKIN,92.03,1267.78,2527,2.3,3143,92.2,7.7,95268.0,169624.0,74745,0,0,0,0,0,1,0,3.3,9.1,90.9,61.0
62,8097000100,PITKIN,280.46,1267.78,6326,1.6,7583,16.2,6.2,64241.0,109243.0,46802,0,0,0,0,0,1,0,4.1,6.0,94.0,57.4
63,8117000402,SUMMIT,128.73,1267.78,5673,3.1,6340,93.8,10.4,89564.0,99722.0,37862,0,0,0,0,0,1,0,0.3,6.1,94.0,52.5
64,8117000401,SUMMIT,103.55,1267.78,3393,2.4,3864,66.2,13.7,70598.0,100601.0,38244,0,0,0,0,1,0,0,1.1,3.4,96.6,46.3
65,8117000100,SUMMIT,151.74,1267.78,6816,3.4,8155,31.2,9.0,69986.0,93549.0,39109,0,0,0,0,0,1,0,5.4,9.6,90.4,50.1
66,8117000200,SUMMIT,281.8,1267.78,5528,2.6,7162,61.4,13.4,75924.0,101009.0,36866,0,0,0,0,0,1,0,3.8,9.0,91.0,39.5
67,8117000300,SUMMIT,94.52,1267.78,3511,4.5,4201,40.4,4.6,61404.0,70292.0,32048,0,0,0,0,0,1,0,1.3,1.3,98.7,49.1
68,8067971100,LA PLATA,684.12,1267.78,3784,6.3,4350,462.8,22.3,45353.0,76496.0,36755,0,0,0,0,1,0,0,0.0,0.7,99.3,54.7
69,8067971000,LA PLATA,472.05,1267.78,2322,5.0,2984,1546.1,8.6,59018.0,81843.0,37097,0,0,0,0,1,0,0,1.0,1.8,98.2,55.3
70,8067970900,LA PLATA,424.04,1267.78,3409,6.4,4255,1338.1,7.6,60220.0,81228.0,34282,0,0,0,0,1,0,0,0.9,4.9,95.1,47.0
71,8067970800,LA PLATA,540.58,1267.78,6155,3.2,7197,1650.7,12.1,70026.0,85712.0,31872,0,0,0,0,1,0,0,0.4,2.1,97.9,50.8
72,8067940400,LA PLATA,545.15,1267.78,4511,6.4,5620,11.6,7.7,64755.0,83996.0,34726,0,0,0,0,0,1,0,2.6,7.0,93.0,34.9
73,8067970600,LA PLATA,527.86,1267.78,7255,5.4,9339,33.2,6.5,59831.0,73859.0,31523,0,0,0,0,0,1,0,1.9,4.1,95.9,37.9
74,8065961900,LAKE,405.32,1267.78,1659,14.8,2308,6.4,15.5,53276.0,64522.0,24460,1,1,1,0,1,0,1,9.0,20.6,79.4,15.8
75,8065961700,LAKE,784.19,1267.78,4485,6.4,5173,335.3,11.6,45458.0,59512.0,30290,1,1,1,0,1,0,1,4.3,10.5,89.5,36.8
76,8029965100,DELTA,1282.74,1267.78,3447,8.3,4429,241.6,21.3,37037.0,49745.0,20418,1,1,1,0,1,0,1,5.3,15.7,84.4,16.2
77,8029965200,DELTA,713.65,1267.78,3296,9.2,3973,36.3,22.5,40371.0,55453.0,24186,0,0,0,0,0,1,1,2.2,4.5,95.5,25.7
78,8029964600,DELTA,510.95,1267.78,2892,8.5,3567,13.9,11.2,44205.0,72284.0,31212,0,0,0,0,0,1,1,1.1,7.1,92.9,26.0
79,8029965000,DELTA,757.52,1267.78,3690,8.5,4782,15.0,11.3,50075.0,68926.0,28896,0,0,0,0,0,1,1,2.5,11.1,89.0,15.1
80,8029964900,DELTA,1345.71,1267.78,4176,8.8,5563,75.2,17.5,43889.0,64090.0,26213,0,0,0,0,0,1,0,2.6,9.0,91.0,19.9
81,8029964800,DELTA,963.6,1267.78,3359,7.4,4007,17.2,14.7,48125.0,59509.0,19177,0,0,0,0,0,1,1,6.9,20.0,80.0,15.9
82,8029964700,DELTA,852.59,1267.78,3201,9.2,3896,29.5,16.4,42419.0,62969.0,29064,0,0,0,0,0,1,1,3.2,10.2,89.8,18.3
83,8003960300,ALAMOSA,1908.82,1267.78,3872,4.2,5397,381.7,40.5,27959.0,38173.0,13799,1,1,1,0,1,0,1,15.7,26.4,73.6,11.2
84,8003960200,ALAMOSA,1614.32,1267.78,5184,4.6,6526,735.7,27.5,42500.0,53617.0,21756,1,1,1,0,1,0,1,5.9,11.6,88.3,35.0
85,8113968102,SAN MIGUEL,134.09,1267.78,1598,2.6,1963,119.8,15.2,54926.0,104220.0,45648,0,0,0,0,0,1,0,2.3,4.1,95.9,61.2
86,8113968101,SAN MIGUEL,114.8,1267.78,1534,2.2,1921,93.0,9.8,65313.0,86948.0,38209,0,0,0,0,0,1,0,0.4,6.7,93.3,66.5
87,8113968103,SAN MIGUEL,36.08,1267.78,1700,3.4,2015,6.3,5.0,74261.0,100715.0,49216,0,0,0,0,0,1,0,0.0,4.4,95.6,61.0
88,8113968200,SAN MIGUEL,545.89,1267.78,1523,4.2,1905,2.0,11.9,55536.0,84932.0,34490,0,0,0,0,0,1,0,1.0,10.6,89.4,27.6
89,8079973600,MINERAL,293.67,1267.78,752,1.2,834,1.0,12.0,50385.0,66639.0,33018,0,0,0,0,0,1,0,1.1,3.6,96.4,39.3
90,8083941100,MONTEZUMA,1847.78,1267.78,968,5.8,1541,2.2,31.2,27804.0,34724.0,13208,1,1,0,0,0,1,1,5.0,20.0,80.0,11.9
91,8083969400,MONTEZUMA,1137.12,1267.78,2982,10.1,4162,1227.7,26.1,34620.0,42669.0,17395,1,1,1,1,1,0,1,3.7,10.1,89.9,17.1
92,8083969100,MONTEZUMA,469.65,1267.78,2997,12.2,3807,11.8,15.0,51250.0,64637.0,26228,0,0,0,0,0,1,0,1.4,5.0,94.9,41.6
93,8083969200,MONTEZUMA,381.36,1267.78,2306,13.0,2974,6.1,17.7,49224.0,61478.0,25396,1,1,0,0,0,1,1,1.2,6.5,93.5,25.9
94,8083969000,MONTEZUMA,414.8,1267.78,2518,12.6,3094,8.4,4.0,59313.0,68794.0,31060,0,0,0,0,0,1,0,3.8,7.9,92.1,38.2
95,8083969600,MONTEZUMA,560.85,1267.78,4090,11.7,5051,38.4,12.5,50203.0,60974.0,25100,0,0,0,0,0,1,1,4.3,12.8,87.2,20.4
96,8083969300,MONTEZUMA,1227.19,1267.78,4111,11.6,5141,319.5,17.7,47961.0,59166.0,26999,0,0,0,0,0,1,0,3.4,11.9,88.1,31.1
97,8003960000,ALAMOSA,586.42,1267.78,1260,5.3,1637,3.0,14.3,46447.0,57239.0,22582,1,1,0,0,0,1,1,6.0,16.9,83.1,27.6
98,8003960100,ALAMOSA,859.94,1267.78,2053,7.2,2785,17.2,13.6,46146.0,61859.0,21787,0,0,0,0,0,1,1,7.4,11.0,89.0,33.5
99,8091967600,OURAY,323.58,1267.78,3968,6.8,4653,8.6,10.4,61333.0,75322.0,35544,0,0,0,0,0,1,0,0.2,2.0,98.0,49.4
100,8033000100,DOLORES,395.7,1267.78,1375,5.4,1736,1.6,14.1,40352.0,56890.0,23190,0,0,0,0,0,1,1,2.7,9.2,90.9,19.8
101,8109977600,SAGUACHE,549.99,1267.78,2793,14.2,3387,1.2,21.8,32875.0,49412.0,23601,1,1,1,1,0,1,1,2.9,9.1,90.9,35.6
102,8109977700,SAGUACHE,755.06,1267.78,2142,18.5,2951,7.6,20.1,37321.0,58159.0,20735,1,1,0,0,0,1,1,21.3,34.2,65.8,12.4
103,8105976700,RIO GRANDE,1850.84,1267.78,3644,10.6,5141,299.2,19.9,36285.0,47934.0,19822,1,1,1,0,1,0,1,8.6,18.6,81.5,21.2
104,8105977000,RIO GRANDE,693.9,1267.78,3615,10.6,4515,5.1,14.9,47877.0,65133.0,27332,0,0,0,0,0,1,0,5.7,13.3,86.7,29.2
105,8105976800,RIO GRANDE,1469.41,1267.78,1460,14.6,1774,419.4,21.7,30437.0,38552.0,17399,0,0,0,0,0,1,1,8.6,20.5,79.5,16.4
106,8077001706,MESA,1859.7,1267.78,4504,6.3,6275,3031.4,35.4,30802.0,42494.0,16147,1,1,1,0,1,0,1,2.2,13.5,86.4,7.5
107,8077001707,MESA,1395.69,1267.78,4425,6.8,5883,3129.3,17.0,55402.0,62138.0,25057,0,0,0,0,1,0,0,3.1,13.1,87.0,19.8
108,8077001001,MESA,879.42,1267.78,3854,10.7,4820,2351.2,6.8,44832.0,76555.0,35962,0,0,0,0,1,0,0,3.0,8.2,91.8,39.6
109,8077000602,MESA,1757.95,1267.78,3958,6.5,4709,4709.0,41.0,25518.0,32516.0,15486,0,1,0,0,1,0,1,3.8,13.5,86.5,28.3
110,8077000500,MESA,2466.7,1267.78,3136,3.4,3266,6948.9,35.2,23371.0,31059.0,9218,0,0,0,0,1,0,1,5.0,17.0,83.0,15.9
111,8077000400,MESA,1363.72,1267.78,3026,7.3,3647,2662.0,20.4,43713.0,58889.0,26457,0,0,0,0,1,0,0,2.6,10.9,89.1,26.5
112,8077001302,MESA,929.59,1267.78,3871,10.0,4934,1713.2,5.0,63822.0,74508.0,29823,0,0,0,0,1,0,0,1.5,8.2,91.9,25.1
113,8077001102,MESA,1089.32,1267.78,3520,9.3,4581,2632.8,11.7,61181.0,77133.0,33066,0,0,0,0,1,0,0,3.6,9.8,90.2,21.6
114,8077000300,MESA,2045.68,1267.78,1220,7.1,1503,2683.9,21.2,30592.0,43794.0,23225,0,0,0,0,1,0,1,8.4,11.7,88.2,34.4
115,8077000200,MESA,1983.76,1267.78,1609,6.6,2106,5014.3,25.5,30682.0,44888.0,22548,0,1,0,1,1,0,1,2.3,8.1,91.9,30.2
116,8077001404,MESA,617.07,1267.78,4122,9.3,4948,765.9,2.6,100094.0,110058.0,45614,0,0,0,0,1,0,0,0.3,1.9,98.1,49.3
117,8077001501,MESA,1165.2,1267.78,9796,8.1,13132,1811.3,15.7,55714.0,58927.0,23683,0,0,0,0,1,0,0,4.7,12.8,87.2,23.2
118,8077001403,MESA,790.19,1267.78,2810,8.7,3573,1041.7,5.6,75938.0,90436.0,36983,0,0,0,0,1,0,0,1.0,5.2,94.8,42.9
119,8077001301,MESA,1695.34,1267.78,6615,6.3,8891,2370.9,28.0,42450.0,52793.0,21979,1,1,1,0,1,0,1,1.4,8.8,91.2,19.7
120,8077001002,MESA,765.4,1267.78,5416,9.2,6736,1935.6,10.2,50482.0,68242.0,32564,0,0,0,0,1,0,0,2.6,7.7,92.4,38.1
121,8077000900,MESA,1938.81,1267.78,2199,6.5,2915,450.5,21.2,47288.0,57466.0,23997,0,0,0,0,1,0,0,2.4,8.0,92.0,24.1
122,8077001101,MESA,1369.09,1267.78,6131,7.7,7936,3743.4,15.6,50822.0,59249.0,25182,0,0,0,0,1,0,0,1.7,9.1,90.9,22.7
123,8077000800,MESA,1207.6,1267.78,6369,7.1,8933,1464.4,16.6,53156.0,62064.0,20902,1,1,1,1,1,0,1,4.9,13.6,86.4,17.4
124,8077000700,MESA,1874.78,1267.78,3166,7.5,3957,2931.1,26.6,37938.0,50120.0,23831,0,1,0,0,1,0,1,8.1,15.1,84.9,31.4
125,8077001900,MESA,631.08,1267.78,4210,9.3,5173,3.1,4.5,73569.0,88593.0,38127,0,0,0,0,0,1,0,1.5,7.1,92.9,31.0
126,8077000601,MESA,1836.24,1267.78,3254,7.4,4291,4334.3,31.7,40313.0,48227.0,21370,0,1,0,1,1,0,1,5.2,10.0,90.0,28.8
127,8077001402,MESA,554.1,1267.78,4733,9.9,5861,632.3,2.8,70221.0,83971.0,34885,0,0,0,0,1,0,0,2.4,5.7,94.2,41.8
128,8077001600,MESA,601.24,1267.78,2891,9.6,3548,80.7,2.3,83906.0,120182.0,51723,0,0,0,0,0,1,0,0.0,1.7,98.3,49.6
129,8077001502,MESA,666.81,1267.78,5761,8.7,7594,19.7,7.6,61250.0,91302.0,35035,0,0,0,0,0,1,0,2.0,8.7,91.3,28.8
130,8077001703,MESA,1189.57,1267.78,3357,8.8,4366,2250.5,8.4,54892.0,69083.0,27947,0,0,0,0,1,0,0,3.2,6.9,93.1,16.0
131,8077001800,MESA,492.31,1267.78,2349,8.4,3054,2.7,14.7,64028.0,73695.0,28702,0,0,0,0,0,1,0,1.3,9.8,90.2,25.5
132,8077001702,MESA,1080.62,1267.78,3694,9.5,4589,229.5,13.3,46838.0,67862.0,27463,0,0,0,0,0,1,0,2.4,11.8,88.2,25.7
133,8077001705,MESA,2171.34,1267.78,4021,6.5,5310,2026.7,24.2,38188.0,48926.0,20462,1,1,1,1,1,0,1,6.9,19.4,80.6,8.8
134,8077001200,MESA,721.65,1267.78,1870,10.5,2267,180.4,6.6,82143.0,92833.0,37147,0,0,0,0,0,1,0,0.7,4.8,95.2,30.8
135,8019014900,CLEAR CREEK,348.62,1267.78,2165,10.0,2503,12.4,7.3,55759.0,72462.0,36889,0,0,0,0,0,1,0,0.8,4.6,95.4,37.0
136,8053973100,HINSDALE,246.55,1267.78,672,1.0,820,0.7,12.0,53056.0,64899.0,29574,0,0,0,0,0,1,0,0.8,7.3,92.8,40.8
137,8015000401,CHAFFEE,743.09,1267.78,4094,7.6,4895,13.3,9.1,54366.0,65361.0,28350,0,0,0,0,0,1,1,1.2,3.7,96.3,34.8
138,8015000402,CHAFFEE,382.08,1267.78,3235,6.3,3777,21.3,13.1,51100.0,63224.0,19743,0,0,0,0,0,1,1,2.2,7.6,92.4,18.6
139,8015000100,CHAFFEE,839.29,1267.78,2295,10.7,2824,1857.9,11.4,38257.0,54876.0,25115,0,1,0,0,1,0,1,10.2,19.9,80.1,31.7
140,8015000200,CHAFFEE,804.04,1267.78,3612,7.7,4184,98.3,7.2,53918.0,70661.0,33994,1,1,1,0,1,0,1,2.0,8.3,91.7,34.7
141,8015000300,CHAFFEE,427.8,1267.78,2727,7.6,3138,7.4,8.5,67426.0,83595.0,37437,0,0,0,0,0,1,0,1.5,7.2,92.8,41.9
142,8111972600,SAN JUAN,215.55,1267.78,475,1.1,569,1.5,3.3,46397.0,61346.0,28889,0,0,0,0,0,1,0,2.8,3.5,96.5,29.8
143,8085966502,MONTROSE,838.92,1267.78,2954,9.5,3766,1238.8,14.8,52192.0,58133.0,25389,0,0,0,0,1,0,0,3.4,5.0,95.0,32.5
144,8085966601,MONTROSE,1071.41,1267.78,3480,9.1,4692,719.6,17.2,48438.0,60054.0,23313,1,1,1,0,1,0,1,4.0,12.7,87.3,22.0
145,8085966602,MONTROSE,503.62,1267.78,3764,9.9,4664,20.8,5.9,62898.0,72477.0,30001,0,0,0,0,0,1,0,0.8,3.4,96.6,30.9
146,8085966201,MONTROSE,635.98,1267.78,1926,12.0,2423,6.5,8.9,44545.0,57674.0,25632,1,1,0,0,0,1,1,1.0,5.1,94.9,23.1
147,8085966503,MONTROSE,1205.33,1267.78,2628,9.8,3506,123.7,23.8,39531.0,47518.0,19153,0,0,0,0,0,1,0,2.0,13.5,86.6,21.7
148,8085966501,MONTROSE,510.54,1267.78,2410,10.3,2895,12.3,8.9,67372.0,79909.0,34420,0,0,0,0,0,1,0,2.6,4.5,95.6,35.9
149,8085966202,MONTROSE,718.11,1267.78,3317,11.9,4586,18.2,20.9,41641.0,50198.0,18131,1,1,0,0,0,1,1,11.8,21.4,78.7,13.1
150,8085966100,MONTROSE,698.55,1267.78,1842,10.3,2203,2.0,11.9,45500.0,54771.0,27003,0,0,0,0,0,1,0,1.5,8.4,91.6,17.5
151,8085966400,MONTROSE,1344.59,1267.78,4859,10.2,6087,2035.8,20.7,41081.0,49073.0,23376,0,1,0,1,1,0,1,3.6,10.5,89.5,22.7
152,8085966300,MONTROSE,1728.26,1267.78,4586,9.3,6086,1383.2,30.7,36660.0,51539.0,22289,1,1,1,0,1,0,1,6.6,16.9,83.0,17.4
153,8007940400,ARCHULETA,530.06,1267.78,1108,5.7,1260,3.2,4.9,58068.0,69127.0,32042,0,0,0,0,0,1,0,1.3,4.3,95.7,22.4
154,8007974200,ARCHULETA,421.97,1267.78,4676,3.1,5561,193.3,11.2,47702.0,57864.0,26886,0,0,0,0,1,0,0,3.3,10.4,89.6,41.5
155,8007974400,ARCHULETA,191.96,1267.78,1918,3.2,2430,4.3,15.5,51552.0,85001.0,38159,0,0,0,0,0,1,0,3.5,7.2,92.8,39.8
156,8007974300,ARCHULETA,641.98,1267.78,2697,3.9,3341,9.2,12.1,41674.0,59499.0,26007,0,0,0,0,0,1,0,5.3,12.0,88.1,33.4
157,8093000500,PARK,1009.47,1267.78,2260,5.3,2526,3.2,9.4,45607.0,66581.0,33330,1,1,0,0,0,1,1,0.0,1.2,98.8,25.8
